sgRNA	gene
HGLibA_00617	ACTL10
HGLibA_00618	ACTL10
HGLibA_00619	ACTL6A
HGLibA_00620	ACTL6A
HGLibA_00621	ACTL6A
HGLibA_00622	ACTL6B
HGLibA_00623	ACTL6B
HGLibA_00624	ACTL6B
HGLibA_00625	ACTL7A
HGLibA_00626	ACTL7A
HGLibA_00627	ACTL7A
HGLibA_00628	ACTL7B
HGLibA_00629	ACTL7B
HGLibA_00630	ACTL7B
HGLibA_00631	ACTL8
HGLibA_00632	ACTL8
HGLibA_00633	ACTL8
HGLibA_00634	ACTL9
HGLibA_00635	ACTL9
HGLibA_00636	ACTL9
HGLibA_00637	ACTN1
HGLibA_00638	ACTN1
HGLibA_00639	ACTN1
HGLibA_00640	ACTN2
HGLibA_00641	ACTN2
HGLibA_00642	ACTN2
HGLibA_00643	ACTN4
HGLibA_00644	ACTN4
HGLibA_00645	ACTN4
HGLibA_00646	ACTR10
HGLibA_00647	ACTR10
HGLibA_00648	ACTR10
HGLibA_00649	ACTR1A
HGLibA_00650	ACTR1A
HGLibA_00651	ACTR1A
HGLibA_00652	ACTR1B
HGLibA_00653	ACTR1B
HGLibA_00654	ACTR1B
HGLibA_00655	ACTR2
HGLibA_00656	ACTR2
HGLibA_00657	ACTR2
HGLibA_00658	ACTR3
HGLibA_00659	ACTR3
HGLibA_00660	ACTR3
HGLibA_00661	ACTR3B
HGLibA_00662	ACTR3B
HGLibA_00663	ACTR3B
HGLibA_00664	ACTR3C
HGLibA_00665	ACTR3C
HGLibA_00666	ACTR3C
HGLibA_00667	ACTR5
HGLibA_00668	ACTR5
HGLibA_00669	ACTR5
HGLibA_00670	ACTR6
HGLibA_00671	ACTR6
HGLibA_00672	ACTR6
HGLibA_00673	ACTR8
HGLibA_00674	ACTR8
HGLibA_00675	ACTR8
HGLibA_00676	ACTRT1
HGLibA_00677	ACTRT1
HGLibA_00678	ACTRT1
HGLibA_00679	ACTRT2
HGLibA_00680	ACTRT2
HGLibA_00681	ACTRT2
HGLibA_00682	ACTRT3
HGLibA_00683	ACTRT3
HGLibA_00684	ACTRT3
HGLibA_00685	ACVR1
HGLibA_00686	ACVR1
HGLibA_00687	ACVR1
HGLibA_00688	ACVR1B
HGLibA_00689	ACVR1B
HGLibA_00690	ACVR1B
HGLibA_00691	ACVR1C
HGLibA_00692	ACVR1C
HGLibA_00693	ACVR1C
HGLibA_00694	ACVR2A
HGLibA_00695	ACVR2A
HGLibA_00696	ACVR2A
HGLibA_00697	ACVR2B
HGLibA_00698	ACVR2B
HGLibA_00699	ACVR2B
HGLibA_00700	ACVRL1
HGLibA_00701	ACVRL1
HGLibA_00702	ACVRL1
HGLibA_00703	ACY1
HGLibA_00704	ACY1
HGLibA_00705	ACY1
HGLibA_00706	ACY3
HGLibA_00707	ACY3
HGLibA_00708	ACY3
HGLibA_00709	ACYP1
HGLibA_00710	ACYP1
HGLibA_00711	ACYP1
HGLibA_00712	ACYP2
HGLibA_00713	ACYP2
HGLibA_00714	ACYP2
HGLibA_00715	ADA
HGLibA_00716	ADA
HGLibA_00717	ADA
HGLibA_00718	ADAD1
HGLibA_00719	ADAD1
HGLibA_00720	ADAD1
HGLibA_00721	ADAD2
HGLibA_00722	ADAD2
HGLibA_00723	ADAD2
HGLibA_00724	ADAL
HGLibA_00725	ADAL
HGLibA_00726	ADAL
HGLibA_00727	ADAM10
HGLibA_00728	ADAM10
HGLibA_00729	ADAM10
HGLibA_00730	ADAM11
HGLibA_00731	ADAM11
HGLibA_00732	ADAM11
HGLibA_00733	ADAM12
HGLibA_00734	ADAM12
HGLibA_00735	ADAM12
HGLibA_00736	ADAM15
HGLibA_00737	ADAM15
HGLibA_00738	ADAM15
HGLibA_00739	ADAM17
HGLibA_00740	ADAM17
HGLibA_00741	ADAM17
HGLibA_00742	ADAM18
HGLibA_00743	ADAM18
HGLibA_00744	ADAM18
HGLibA_00745	ADAM19
HGLibA_00746	ADAM19
HGLibA_00747	ADAM19
HGLibA_00748	ADAM2
HGLibA_00749	ADAM2
HGLibA_00750	ADAM2
HGLibA_00751	ADAM20
HGLibA_00752	ADAM20
HGLibA_00753	ADAM20
HGLibA_00754	ADAM21
HGLibA_00755	ADAM21
HGLibA_00756	ADAM21
HGLibA_00757	ADAM22
HGLibA_00758	ADAM22
HGLibA_00759	ADAM22
HGLibA_00760	ADAM23
HGLibA_00761	ADAM23
HGLibA_00762	ADAM23
HGLibA_00763	ADAM28
HGLibA_00764	ADAM28
HGLibA_00765	ADAM28
HGLibA_00766	ADAM29
HGLibA_00767	ADAM29
HGLibA_00768	ADAM29
HGLibA_00769	ADAM30
HGLibA_00770	ADAM30
HGLibA_00771	ADAM30
HGLibA_00772	ADAM32
HGLibA_00773	ADAM32
HGLibA_00774	ADAM32
HGLibA_00775	ADAM33
HGLibA_00776	ADAM33
HGLibA_00777	ADAM33
HGLibA_00778	ADAM7
HGLibA_00779	ADAM7
HGLibA_00780	ADAM7
HGLibA_00781	ADAM8
HGLibA_00782	ADAM8
HGLibA_00783	ADAM8
HGLibA_00784	ADAM9
HGLibA_00785	ADAM9
HGLibA_00786	ADAM9
HGLibA_00787	ADAMDEC1
HGLibA_00788	ADAMDEC1
HGLibA_00789	ADAMDEC1
HGLibA_00790	ADAMTS1
HGLibA_00791	ADAMTS1
HGLibA_00792	ADAMTS1
HGLibA_00793	ADAMTS10
HGLibA_00794	ADAMTS10
HGLibA_00795	ADAMTS10
HGLibA_00796	ADAMTS12
HGLibA_00797	ADAMTS12
HGLibA_00798	ADAMTS12
HGLibA_00799	ADAMTS13
HGLibA_00800	ADAMTS13
HGLibA_00801	ADAMTS13
HGLibA_00802	ADAMTS14
HGLibA_00803	ADAMTS14
HGLibA_00804	ADAMTS14
HGLibA_00805	ADAMTS15
HGLibA_00806	ADAMTS15
HGLibA_00807	ADAMTS15
HGLibA_00808	ADAMTS16
HGLibA_00809	ADAMTS16
HGLibA_00810	ADAMTS16
HGLibA_00811	ADAMTS17
HGLibA_00812	ADAMTS17
HGLibA_00813	ADAMTS17
HGLibA_00814	ADAMTS18
HGLibA_00815	ADAMTS18
HGLibA_00816	ADAMTS18
HGLibA_00817	ADAMTS19
HGLibA_00818	ADAMTS19
HGLibA_00819	ADAMTS19
HGLibA_00820	ADAMTS2
HGLibA_00821	ADAMTS2
HGLibA_00822	ADAMTS2
HGLibA_00823	ADAMTS20
HGLibA_00824	ADAMTS20
HGLibA_00825	ADAMTS20
HGLibA_00826	ADAMTS3
HGLibA_00827	ADAMTS3
HGLibA_00828	ADAMTS3
HGLibA_00829	ADAMTS4
HGLibA_00830	ADAMTS4
HGLibA_00831	ADAMTS4
HGLibA_00832	ADAMTS5
HGLibA_00833	ADAMTS5
HGLibA_00834	ADAMTS5
HGLibA_00835	ADAMTS6
HGLibA_00836	ADAMTS6
HGLibA_00837	ADAMTS6
HGLibA_00838	ADAMTS7
HGLibA_00839	ADAMTS7
HGLibA_00840	ADAMTS7
HGLibA_00841	ADAMTS8
HGLibA_00842	ADAMTS8
HGLibA_00843	ADAMTS8
HGLibA_00844	ADAMTS9
HGLibA_00845	ADAMTS9
HGLibA_00846	ADAMTS9
HGLibA_00847	ADAMTSL1
HGLibA_00848	ADAMTSL1
HGLibA_00849	ADAMTSL1
HGLibA_00850	ADAMTSL2
HGLibA_00851	ADAMTSL2
HGLibA_00852	ADAMTSL2
HGLibA_00853	ADAMTSL3
HGLibA_00854	ADAMTSL3
HGLibA_00855	ADAMTSL3
HGLibA_00856	ADAMTSL4
HGLibA_00857	ADAMTSL4
HGLibA_00858	ADAMTSL4
HGLibA_00859	ADAMTSL5
HGLibA_00860	ADAMTSL5
HGLibA_00861	ADAMTSL5
HGLibA_00862	ADAP1
HGLibA_00863	ADAP1
HGLibA_00864	ADAP1
HGLibA_00865	ADAP2
HGLibA_00866	ADAP2
HGLibA_00867	ADAP2
HGLibA_00868	ADAR
HGLibA_00869	ADAR
HGLibA_00870	ADAR
HGLibA_00871	ADARB1
HGLibA_00872	ADARB1
HGLibA_00873	ADARB1
HGLibA_00874	ADARB2
HGLibA_00875	ADARB2
HGLibA_00876	ADARB2
HGLibA_00877	ADAT1
HGLibA_00878	ADAT1
HGLibA_00879	ADAT1
HGLibA_00880	ADAT2
HGLibA_00881	ADAT2
HGLibA_00882	ADAT2
HGLibA_00883	ADAT3
HGLibA_00884	ADAT3
HGLibA_00885	ADAT3
HGLibA_00886	ADC
HGLibA_00887	ADC
HGLibA_00888	ADC
HGLibA_00889	ADCK1
HGLibA_00890	ADCK1
HGLibA_00891	ADCK1
HGLibA_00892	ADCK2
HGLibA_00893	ADCK2
HGLibA_00894	ADCK2
HGLibA_00895	ADCK3
HGLibA_00896	ADCK3
HGLibA_00897	ADCK3
HGLibA_00898	ADCK4
HGLibA_00899	ADCK4
HGLibA_00900	ADCK4
HGLibA_00901	ADCK5
HGLibA_00902	ADCK5
HGLibA_00903	ADCK5
HGLibA_00904	ADCY1
HGLibA_00905	ADCY1
HGLibA_00906	ADCY1
HGLibA_00907	ADCY10
HGLibA_00908	ADCY10
HGLibA_00909	ADCY10
HGLibA_00910	ADCY2
HGLibA_00911	ADCY2
HGLibA_00912	ADCY2
HGLibA_00913	ADCY3
HGLibA_00914	ADCY3
HGLibA_00915	ADCY3
HGLibA_00916	ADCY4
HGLibA_00917	ADCY4
HGLibA_00918	ADCY4
HGLibA_00919	ADCY5
HGLibA_00920	ADCY5
HGLibA_00921	ADCY5
HGLibA_00922	ADCY6
HGLibA_00923	ADCY6
HGLibA_00924	ADCY6
HGLibA_00925	ADCY7
HGLibA_00926	ADCY7
HGLibA_00927	ADCY7
